holiday_date,holiday_name
2020-01-01,New Year's Day
2020-07-04,Independence Day
2020-11-26,Thanksgiving
2020-12-25,Christmas
2021-01-01,New Year's Day
2021-07-04,Independence Day
2021-11-25,Thanksgiving
2021-12-25,Christmas
2022-01-01,New Year's Day
2022-07-04,Independence Day
2022-11-24,Thanksgiving
2022-12-25,Christmas
2023-01-01,New Year's Day
2023-07-04,Independence Day
2023-11-23,Thanksgiving
2023-12-25,Christmas
2024-01-01,New Year's Day
2024-07-04,Independence Day
2024-11-28,Thanksgiving
2024-12-25,Christmas
2025-01-01,New Year's Day
2025-07-04,Independence Day
2025-11-27,Thanksgiving
2025-12-25,Christmas
2026-01-01,New Year's Day
2026-07-04,Independence Day
2026-11-26,Thanksgiving
2026-12-25,Christmas
